league,season,team,player,nation,pos,age,born,MP Playing Time,Starts Playing Time,Min Playing Time,90s Playing Time,Gls Performance,Ast Performance,G+A Performance,G-PK Performance,PK Performance,PKatt Performance,CrdY Performance,CrdR Performance,xG Expected,npxG Expected,xAG Expected,npxG+xAG Expected,PrgC Progression,PrgP Progression,PrgR Progression,Gls Per 90 Minutes,Ast Per 90 Minutes,G+A Per 90 Minutes,G-PK Per 90 Minutes,G+A-PK Per 90 Minutes,xG Per 90 Minutes,xAG Per 90 Minutes,xG+xAG Per 90 Minutes,npxG Per 90 Minutes,npxG+xAG Per 90 Minutes,90s,G-xG Expected,np:G-xG Expected,npxG/Sh Expected,Dist Standard,FK Standard,G/Sh Standard,G/SoT Standard,Gls Standard,PK Standard,PKatt Standard,Sh Standard,Sh/90 Standard,SoT Standard,SoT% Standard,SoT/90 Standard,1/3,Ast,CrsPA,A-xAG Expected,xA Expected,KP,Att Long,Cmp Long,Cmp% Long,Att Medium,Cmp Medium,Cmp% Medium,PPA,PrgP,Att Short,Cmp Short,Cmp% Short,Att Total,Cmp Total,Cmp% Total,PrgDist Total,TotDist Total,xAG,Att,In Corner Kicks,Out Corner Kicks,Str Corner Kicks,Blocks Outcomes,Cmp Outcomes,Off Outcomes,CK Pass Types,Crs Pass Types,Dead Pass Types,FK Pass Types,Live Pass Types,Sw Pass Types,TB Pass Types,TI Pass Types,GCA GCA,GCA90 GCA,Def GCA Types,Fld GCA Types,PassDead GCA Types,PassLive GCA Types,Sh GCA Types,TO GCA Types,SCA SCA,SCA90 SCA,Def SCA Types,Fld SCA Types,PassDead SCA Types,PassLive SCA Types,Sh SCA Types,TO SCA Types,Blocks Blocks,Pass Blocks,Sh Blocks,Att Challenges,Lost Challenges,Tkl Challenges,Tkl% Challenges,Clr,Err,Int,Att 3rd Tackles,Def 3rd Tackles,Mid 3rd Tackles,Tkl Tackles,TklW Tackles,Tkl+Int,1/3 Carries,CPA Carries,Carries Carries,Dis Carries,Mis Carries,PrgC Carries,PrgDist Carries,TotDist Carries,PrgR Receiving,Rec Receiving,Att Take-Ons,Succ Take-Ons,Succ% Take-Ons,Tkld Take-Ons,Tkld% Take-Ons,Att 3rd Touches,Att Pen Touches,Def 3rd Touches,Def Pen Touches,Live Touches,Mid 3rd Touches,Touches Touches,Min% Playing Time,Mn/MP Playing Time,Compl Starts,Mn/Start Starts,Starts Starts,Mn/Sub Subs,Subs Subs,unSub Subs,+/- Team Success,+/-90 Team Success,On-Off Team Success,PPM Team Success,onG Team Success,onGA Team Success,On-Off Team Success (xG),onxG Team Success (xG),onxGA Team Success (xG),xG+/- Team Success (xG),xG+/-90 Team Success (xG),Lost Aerial Duels,Won Aerial Duels,Won% Aerial Duels,2CrdY Performance,Crs Performance,Fld Performance,Fls Performance,Int Performance,OG Performance,Off Performance,PKcon Performance,PKwon Performance,Recov Performance,TklW Performance
ENG-Premier League,2324,Fulham,Willian,BRA,FW,34,1988,31,24,2053,22.8,4,2,6,2,2,2,1,0,5.1,3.6,3.9,7.5,92,153,181,0.18,0.09,0.26,0.09,0.18,0.22,0.17,0.4,0.16,0.33,22.8,-1.1,-1.6,0.08,20.4,2,0.05,0.13,4,2,2,43,1.89,16,37.2,0.7,59,2,9,-1.9,4.5,44,157,109,69.4,407,337,82.8,69,153,513,460,89.7,1145,932,81.4,3848,16128,3.9,1145,11,14,0,20,932,5,36,75,59,17,1081,14,8,6,10,0.44,0,0,0,10,0,0,111,4.87,0,2,15,81,9,4,13,13,0,21,18,3,14.3,12,1,9,5,6,7,18,11,27,71,28,902,26,35,92,2943,5906,181,1040,63,29,46.0,25,39.7,671,73,160,17,1331,519,1333,60.0,66,9,77,24,29,7,2,6,0.26,1.05,1.29,34,28,0.69,33.9,34.9,-1.0,-0.04,15,9,37.5,0,75,30,9,9,0,1,0,0,99,11
ENG-Premier League,2324,Liverpool,Alexis Mac Allister,ARG,MF,24,1998,33,31,2599,28.9,5,5,10,4,1,1,7,1,3.7,2.9,3.6,6.4,44,209,48,0.17,0.17,0.35,0.14,0.31,0.13,0.12,0.25,0.1,0.22,28.9,1.3,1.1,0.07,23.3,2,0.09,0.5,5,1,1,43,1.49,8,18.6,0.28,162,5,2,1.4,4.9,47,161,100,62.1,722,656,90.9,41,209,970,884,91.1,1967,1704,86.6,7659,26565,3.6,1967,2,9,0,32,1704,6,11,32,61,38,1900,11,14,2,12,0.42,0,0,1,10,0,1,108,3.74,2,5,5,92,1,3,65,57,8,125,66,59,47.2,25,1,35,14,35,50,99,55,134,45,4,1346,35,30,44,3006,5738,48,1626,34,18,52.9,12,35.3,560,32,392,73,2312,1382,2313,76.0,79,17,83,31,17,2,0,28,0.97,-0.89,2.15,62,34,-0.11,66.1,34.9,31.2,1.08,28,31,52.5,0,32,47,53,35,0,0,0,0,195,55
ENG-Premier League,2324,Liverpool,Alisson,BRA,GK,30,1992,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,8,0,0,0.0,0.0,1,284,147,51.8,607,597,98.4,0,5,239,238,99.6,1142,985,86.3,13147,21428,0.0,1142,0,0,0,3,985,5,0,0,154,38,983,5,0,0,0,0.0,0,0,0,0,0,0,11,0.39,0,0,1,10,0,0,0,0,0,1,1,0,0.0,11,4,0,0,0,0,0,0,0,0,0,850,0,4,0,2361,3713,0,764,0,0,,0,,0,0,1145,754,1196,52,1196,73.7,90,28,90,28,,0,0,30,1.07,-0.43,2.0,60,30,-0.58,62.1,35.4,26.7,0.95,2,6,75.0,0,0,5,1,0,0,0,0,0,36,0
ENG-Premier League,2324,Liverpool,Andrew Robertson,SCO,DF,29,1994,23,18,1693,18.8,3,2,5,3,0,0,2,0,1.9,1.9,5.4,7.3,63,140,130,0.16,0.11,0.27,0.16,0.27,0.1,0.29,0.39,0.1,0.39,18.8,1.1,1.1,0.16,12.5,0,0.25,0.5,3,0,0,12,0.64,6,50.0,0.32,118,2,12,-3.4,4.4,62,239,122,51.0,587,495,84.3,26,140,654,609,93.1,1547,1248,80.7,7231,21306,5.4,1547,34,53,0,29,1248,10,90,184,240,41,1297,7,0,109,5,0.27,0,0,2,3,0,0,97,5.16,0,1,33,62,0,1,20,14,6,43,17,26,60.5,40,0,13,3,21,11,35,24,48,40,6,979,6,18,63,2638,4623,130,1160,17,5,29.4,12,70.6,548,55,387,67,1713,789,1713,49.5,74,14,86,18,28,5,0,21,1.12,-0.13,2.04,43,22,0.17,45.4,23.0,22.4,1.19,12,14,53.8,0,184,5,9,13,0,3,0,0,104,24
ENG-Premier League,2324,Liverpool,Ben Gannon-Doak,SCO,FW,17,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,0,0,0,0.0,0.0,0,0,0,,0,0,,0,0,4,4,100.0,4,4,100.0,8,45,0.0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,7,0,4,0,0,,0,,4,0,0,0,6,2,6,0.4,14,0,,0,14,1,8,0,0.0,-1.19,1.0,0,0,-0.87,0.0,0.0,0.0,0.24,0,0,,0,0,0,0,0,0,0,0,0,1,0
ENG-Premier League,2324,Liverpool,Bobby Clark,ENG,MF,18,2005,5,1,89,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,3,7,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,1.0,-0.1,-0.1,0.07,18.7,0,0.0,,0,0,0,2,2.02,0,0.0,0.0,3,0,0,0.0,0.0,0,2,1,50.0,12,11,91.7,0,3,29,23,79.3,49,38,77.6,64,465,0.0,49,0,0,0,2,38,0,0,0,0,0,49,0,0,0,0,0.0,0,0,0,0,0,0,1,1.01,0,0,0,0,1,0,6,4,2,5,4,1,20.0,1,0,1,0,1,1,2,1,3,0,2,45,6,3,3,149,286,7,48,4,0,0.0,3,75.0,26,6,11,4,70,34,70,2.6,18,0,59,1,8,4,6,2,2.02,0.86,3.0,2,0,-1.19,1.7,1.7,-0.1,-0.05,0,0,,0,0,3,4,1,0,0,0,0,6,1
ENG-Premier League,2324,Liverpool,Caoimhín Kelleher,IRL,GK,24,1998,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,9,0,0,0.0,0.0,1,140,62,44.3,198,196,99.0,0,1,101,101,100.0,442,359,81.2,5323,8077,0.0,442,0,0,0,0,359,3,0,0,38,10,401,0,0,0,0,0.0,0,0,0,0,0,0,2,0.2,0,0,0,2,0,0,0,0,0,0,0,0,,4,1,0,0,0,0,0,0,0,0,0,367,0,0,0,1077,1742,0,330,0,0,,0,,0,0,446,269,457,11,457,26.3,90,10,90,10,,0,27,15,1.5,0.43,2.6,26,11,0.58,25.7,10.3,15.4,1.54,0,4,100.0,0,0,0,0,0,0,0,0,0,13,0
ENG-Premier League,2324,Liverpool,Cody Gakpo,NED,"FW,MF",24,1999,35,17,1649,18.3,8,5,13,8,0,0,1,0,9.0,9.0,2.9,11.8,43,83,130,0.44,0.27,0.71,0.44,0.71,0.49,0.16,0.64,0.49,0.64,18.3,-1.0,-1.0,0.14,15.4,0,0.12,0.33,8,0,0,66,3.6,24,36.4,1.31,43,5,5,2.1,2.7,25,24,18,75.0,183,136,74.3,32,83,315,266,84.4,564,436,77.3,1738,6130,2.9,564,0,0,0,15,436,2,0,21,15,5,547,2,1,6,10,0.55,0,1,0,6,2,1,73,3.98,2,5,1,47,12,6,21,17,4,25,17,8,32.0,7,0,14,5,8,14,27,17,41,31,13,549,32,44,43,1472,3003,130,618,54,31,57.4,17,31.5,412,107,77,15,809,335,809,48.2,47,3,73,17,23,18,0,32,1.75,1.09,2.23,52,20,0.24,46.4,23.8,22.6,1.23,27,32,54.2,0,21,38,28,14,0,8,0,0,81,17
ENG-Premier League,2324,Liverpool,Conor Bradley,NIR,DF,20,2003,11,10,753,8.4,1,3,4,1,0,0,2,0,0.9,0.9,1.5,2.3,35,29,64,0.12,0.36,0.48,0.12,0.48,0.1,0.17,0.28,0.1,0.28,8.4,0.1,0.1,0.07,17.3,0,0.08,0.25,1,0,0,12,1.43,4,33.3,0.48,27,3,3,1.5,1.2,15,35,20,57.1,190,149,78.4,13,29,275,238,86.5,530,419,79.1,1849,6224,1.5,530,0,0,0,16,419,0,0,18,85,10,445,1,3,75,3,0.36,0,0,1,2,0,0,27,3.22,2,1,1,18,2,3,17,16,1,38,14,24,63.2,14,0,10,7,14,12,33,25,43,29,12,373,10,17,35,1085,2144,64,388,30,13,43.3,14,46.7,243,38,140,14,661,289,661,22.0,68,2,73,10,20,1,8,11,1.31,0.17,2.36,18,7,0.32,18.7,7.3,11.3,1.35,5,11,68.8,0,18,12,8,10,1,2,0,0,50,25
ENG-Premier League,2324,Liverpool,Curtis Jones,ENG,MF,22,2001,23,14,1167,13.0,1,1,2,1,0,0,3,1,2.6,2.6,0.7,3.3,31,74,88,0.08,0.08,0.15,0.08,0.15,0.2,0.05,0.25,0.2,0.25,13.0,-1.6,-1.6,0.14,16.2,0,0.05,0.2,1,0,0,19,1.47,5,26.3,0.39,64,1,1,0.3,1.1,11,30,22,73.3,278,257,92.4,14,74,428,405,94.6,776,707,91.1,2136,10366,0.7,776,0,0,0,5,707,2,1,4,25,4,749,2,4,20,3,0.23,0,0,0,3,0,0,36,2.78,1,1,0,28,3,3,22,22,0,23,13,10,43.5,8,0,7,3,12,12,27,14,34,25,7,624,33,15,31,1425,3297,88,709,29,15,51.7,10,34.5,287,38,127,24,915,509,915,34.1,51,4,70,14,20,9,4,14,1.08,-0.16,1.96,31,17,0.22,31.7,15.5,16.2,1.25,12,7,36.8,0,4,14,16,7,0,5,0,0,72,14
ENG-Premier League,2324,Liverpool,Darwin Núñez,URU,FW,24,1999,36,22,2047,22.7,11,8,19,11,0,1,9,0,16.3,15.5,6.0,21.5,58,54,206,0.48,0.35,0.84,0.48,0.84,0.72,0.27,0.98,0.68,0.95,22.7,-5.3,-4.5,0.15,15.0,0,0.1,0.24,11,0,1,107,4.7,46,43.0,2.02,23,8,0,2.0,4.5,33,37,22,59.5,147,101,68.7,26,54,251,196,78.1,493,341,69.2,1020,4780,6.0,493,0,0,0,18,341,4,0,19,17,2,472,1,6,5,14,0.62,0,1,0,11,2,0,79,3.47,0,2,0,60,12,5,18,12,6,23,12,11,47.8,9,0,3,10,2,10,22,12,25,35,36,468,29,53,58,1279,2694,206,575,44,15,34.1,20,45.5,526,192,41,13,776,224,777,59.9,57,9,79,22,21,14,1,23,1.01,-0.43,2.19,48,25,0.22,52.8,25.6,27.2,1.19,55,34,38.2,0,19,15,28,3,0,33,0,1,56,12
ENG-Premier League,2324,Liverpool,Diogo Jota,POR,FW,26,1996,21,14,1145,12.7,10,3,13,10,0,0,3,1,5.3,5.3,3.3,8.6,54,34,111,0.79,0.24,1.02,0.79,1.02,0.42,0.26,0.68,0.42,0.68,12.7,4.7,4.7,0.13,12.3,0,0.24,0.53,10,0,0,41,3.22,19,46.3,1.49,18,3,0,-0.3,1.7,22,17,11,64.7,104,83,79.8,12,34,227,185,81.5,394,287,72.8,939,3995,3.3,394,0,0,0,22,287,0,0,9,1,0,393,1,5,1,14,1.1,0,2,0,7,1,4,48,3.77,0,4,0,36,3,5,9,8,1,23,13,10,43.5,4,0,7,4,6,13,23,13,30,29,23,350,18,42,54,1239,2104,111,427,41,15,36.6,21,51.2,311,107,53,8,594,240,594,33.5,55,3,71,14,22,7,1,24,1.89,1.06,2.29,34,10,0.05,28.5,14.0,14.5,1.14,38,17,30.9,1,9,21,27,7,0,3,0,2,48,13
ENG-Premier League,2324,Liverpool,Dominik Szoboszlai,HUN,MF,22,2000,33,25,2104,23.4,3,2,5,3,0,0,1,0,3.7,3.7,5.8,9.5,75,152,160,0.13,0.09,0.21,0.13,0.21,0.16,0.25,0.4,0.16,0.4,23.4,-0.7,-0.7,0.06,24.3,7,0.05,0.2,3,0,0,60,2.57,15,25.0,0.64,98,2,6,-3.8,5.1,56,169,98,58.0,507,441,87.0,33,152,777,694,89.3,1550,1280,82.6,4929,20367,5.8,1550,24,28,2,24,1280,7,66,113,167,34,1376,16,3,31,7,0.3,0,1,0,5,1,0,115,4.92,0,3,21,84,3,4,37,35,2,50,34,16,32.0,16,1,15,8,12,12,32,19,47,67,22,1043,27,27,75,2880,5475,160,1238,56,24,42.9,27,48.2,718,71,239,36,1802,868,1802,61.5,64,12,79,25,15,8,0,19,0.81,-0.97,2.12,42,23,-0.09,50.5,25.5,25.1,1.07,20,12,37.5,0,113,29,29,15,0,3,0,2,171,19
ENG-Premier League,2324,Liverpool,Harvey Elliott,ENG,"MF,FW",20,2003,34,11,1352,15.0,3,6,9,3,0,0,2,0,2.7,2.7,3.5,6.2,44,128,122,0.2,0.4,0.6,0.2,0.6,0.18,0.23,0.42,0.18,0.42,15.0,0.3,0.3,0.06,20.8,2,0.06,0.19,3,0,0,49,3.26,16,32.7,1.07,76,6,11,2.5,4.6,37,105,66,62.9,323,278,86.1,45,128,496,457,92.1,986,825,83.7,3101,13081,3.5,986,9,7,0,17,825,10,19,62,44,4,932,8,3,10,10,0.67,1,1,1,6,0,1,78,5.19,2,1,9,61,3,2,27,27,0,31,21,10,32.3,7,0,6,5,8,14,27,17,33,50,9,722,9,15,44,1753,3946,122,860,20,9,45.0,10,50.0,512,71,91,8,1141,546,1141,39.5,40,4,77,11,22,23,4,28,1.86,1.12,2.15,41,13,0.22,37.2,18.6,18.6,1.24,13,9,40.9,0,62,13,7,6,0,1,0,1,78,17
ENG-Premier League,2324,Liverpool,Ibrahima Konaté,FRA,DF,24,1999,22,17,1574,17.5,0,0,0,0,0,0,5,1,0.7,0.7,0.4,1.1,24,118,3,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,17.5,-0.7,-0.7,0.06,11.6,0,0.0,0.0,0,0,0,11,0.63,2,18.2,0.11,145,0,0,-0.4,0.5,8,140,81,57.9,718,673,93.7,8,118,566,514,90.8,1463,1286,87.9,9043,22733,0.4,1463,0,0,0,8,1286,2,0,1,35,24,1426,6,5,11,1,0.06,0,0,0,1,0,0,24,1.37,0,0,0,24,0,0,18,6,12,24,6,18,75.0,51,1,20,1,22,13,36,22,56,17,0,1081,5,8,24,3590,5747,3,1162,10,6,60.0,1,10.0,80,16,533,86,1622,1018,1622,46.0,72,14,87,17,20,5,11,20,1.14,-0.08,2.0,38,18,0.01,41.3,21.9,19.4,1.11,31,77,71.3,1,1,13,25,20,0,0,0,0,97,22
ENG-Premier League,2324,Liverpool,James McConnell,ENG,MF,18,2004,3,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,0,0,0,0.0,0.0,0,0,0,,3,3,100.0,0,1,2,2,100.0,6,5,83.3,29,93,0.0,6,0,0,0,1,5,0,0,0,0,0,6,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,1,1,0,5,0,1,0,11,47,0,6,1,0,0.0,0,0.0,2,0,1,0,10,7,10,0.1,1,0,,0,1,3,15,1,22.5,21.34,3.0,1,0,2.57,0.2,0.0,0.2,3.67,0,0,,0,0,1,1,1,0,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Jarell Quansah,ENG,DF,20,2003,17,13,1190,13.2,2,0,2,2,0,0,1,0,1.0,1.0,0.1,1.1,13,67,1,0.15,0.0,0.15,0.15,0.15,0.08,0.01,0.08,0.08,0.08,13.2,1.0,1.0,0.17,10.6,0,0.33,0.5,2,0,0,6,0.45,4,66.7,0.3,69,0,0,-0.1,0.2,3,115,61,53.0,633,595,94.0,1,67,392,368,93.9,1172,1038,88.6,6199,18672,0.1,1172,0,0,0,2,1038,3,0,0,22,16,1147,5,1,4,1,0.08,0,0,0,1,0,0,13,0.98,0,0,0,13,0,0,16,8,8,20,6,14,70.0,39,1,17,1,17,7,25,22,42,10,0,894,2,3,13,2497,4943,1,952,7,4,57.1,3,42.9,46,8,521,92,1284,724,1284,34.8,70,10,87,13,16,4,17,16,1.21,0.04,2.35,31,15,0.46,32.5,13.9,18.6,1.4,22,45,67.2,0,0,2,10,17,0,0,1,0,72,22
ENG-Premier League,2324,Liverpool,Jayden Danns,ENG,FW,17,2006,2,0,9,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,0,0,0,0.0,0.0,0,0,0,,3,2,66.7,1,1,4,3,75.0,7,5,71.4,16,73,0.0,7,0,0,0,0,5,0,0,0,0,0,7,0,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,5,11,2,4,0,0,,0,,4,0,0,0,7,3,7,0.3,5,0,,0,5,2,4,2,20.0,18.87,3.0,2,0,3.47,0.6,0.1,0.5,4.56,2,0,0.0,0,0,0,2,0,0,0,0,0,1,0
ENG-Premier League,2324,Liverpool,Joe Gomez,ENG,DF,26,1997,32,17,1786,19.8,0,1,1,0,0,0,5,0,0.8,0.8,1.3,2.1,44,100,105,0.0,0.05,0.05,0.0,0.05,0.04,0.07,0.1,0.04,0.1,19.8,-0.8,-0.8,0.04,19.9,0,0.0,0.0,0,0,0,19,0.96,2,10.5,0.1,83,1,7,-0.3,1.1,22,131,83,63.4,585,497,85.0,20,100,574,519,90.4,1345,1114,82.8,5116,18984,1.3,1345,0,0,0,29,1114,4,0,39,169,14,1172,9,3,153,5,0.25,0,0,0,4,1,0,51,2.57,0,3,0,43,4,1,26,22,4,63,33,30,47.6,50,2,19,7,24,16,47,31,66,34,3,891,11,25,44,2313,4686,105,979,32,15,46.9,12,37.5,375,28,371,85,1564,832,1564,52.2,56,12,85,17,23,15,4,28,1.41,0.47,2.22,47,19,-0.22,46.9,27.0,19.9,1.0,10,31,75.6,0,39,16,28,19,0,0,0,0,111,31
ENG-Premier League,2324,Liverpool,Joël Matip,CMR,DF,31,1991,10,9,781,8.7,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,8,34,1,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.06,0.06,0.06,8.7,-0.5,-0.5,0.1,10.6,0,0.0,,0,0,0,5,0.58,0,0.0,0.0,27,0,0,-0.1,0.1,2,47,33,70.2,287,257,89.5,2,34,216,198,91.7,564,494,87.6,3066,8687,0.1,564,0,0,0,4,494,1,0,0,4,4,559,0,0,0,1,0.12,0,0,0,1,0,0,8,0.92,0,0,0,8,0,0,16,4,12,12,4,8,66.7,43,0,9,1,7,4,12,6,21,13,0,421,4,3,8,1406,2195,1,451,2,0,0.0,2,100.0,37,12,303,90,665,327,665,22.8,78,6,84,9,25,1,4,11,1.27,0.11,2.3,20,9,-0.64,16.6,11.3,5.3,0.61,10,28,73.7,0,0,3,7,9,1,1,0,0,58,6
ENG-Premier League,2324,Liverpool,Kaide Gordon,ENG,FW,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,0,0,0,0.0,0.0,0,0,0,,1,1,100.0,0,1,0,0,,1,1,100.0,11,16,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,2,1,0,0,2,0,2,0.0,1,0,,0,1,1,1,0,0.0,-1.18,3.0,0,0,-40.7,0.0,0.4,-0.4,-39.59,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Liverpool,Kostas Tsimikas,GRE,DF,27,1996,13,8,679,7.5,0,3,3,0,0,0,0,0,0.1,0.1,1.0,1.1,24,31,73,0.0,0.4,0.4,0.0,0.4,0.01,0.14,0.15,0.01,0.15,7.5,-0.1,-0.1,0.03,23.8,0,0.0,,0,0,0,3,0.4,0,0.0,0.0,16,3,4,2.0,1.3,16,85,42,49.4,183,145,79.2,7,31,206,185,89.8,500,383,76.6,1715,6585,1.0,500,7,22,0,10,383,1,29,72,110,14,389,1,0,67,2,0.27,0,0,0,2,0,0,32,4.24,1,2,9,20,0,0,9,8,1,15,6,9,60.0,10,0,6,4,9,6,19,13,25,20,3,310,4,9,24,861,1689,73,338,15,4,26.7,10,66.7,225,17,119,17,573,235,573,19.9,52,6,79,8,9,5,17,9,1.19,0.01,2.15,16,7,-0.41,14.3,8.4,5.8,0.77,13,3,18.8,0,72,7,11,6,0,1,0,0,43,13
ENG-Premier League,2324,Liverpool,Luis Díaz,COL,FW,26,1997,37,32,2629,29.2,8,5,13,8,0,0,3,0,11.9,11.9,5.7,17.5,137,113,302,0.27,0.17,0.45,0.27,0.45,0.41,0.19,0.6,0.41,0.6,29.2,-3.9,-3.9,0.13,15.0,0,0.09,0.25,8,0,0,94,3.22,32,34.0,1.1,62,5,3,-0.7,4.7,64,91,68,74.7,320,274,85.6,45,113,584,527,90.2,1075,898,83.5,2931,13772,5.7,1075,0,0,0,29,898,6,0,26,29,4,1040,11,4,24,9,0.31,0,0,0,9,0,0,163,5.58,1,8,1,121,15,17,15,15,0,30,23,7,23.3,8,0,3,13,5,17,35,25,38,77,70,1017,72,69,137,3690,7500,302,1128,140,67,47.9,57,40.7,858,219,94,10,1453,529,1453,76.9,71,11,78,32,24,5,0,34,1.16,-0.09,2.14,67,33,-0.24,66.1,35.4,30.7,1.05,48,26,35.1,0,26,42,54,3,0,20,0,1,127,25
ENG-Premier League,2324,Liverpool,Mohamed Salah,EGY,FW,31,1992,32,28,2534,28.2,18,10,28,13,5,7,2,0,21.2,15.5,11.8,27.3,98,147,341,0.64,0.36,0.99,0.46,0.82,0.75,0.42,1.17,0.55,0.97,28.2,-3.2,-2.5,0.15,15.5,1,0.12,0.28,18,5,7,107,3.8,47,43.9,1.67,56,10,6,-1.8,7.5,66,65,43,66.2,331,234,70.7,68,147,510,433,84.9,1010,737,73.0,3213,10826,11.8,1010,0,0,0,42,737,14,0,41,28,4,968,3,18,20,20,0.71,0,1,0,14,3,2,139,4.94,1,5,2,103,21,7,19,18,1,21,15,6,28.6,1,0,2,8,1,8,17,11,19,54,66,977,59,77,98,2614,5309,341,1116,77,27,35.1,49,63.6,866,241,47,4,1352,460,1359,74.1,79,22,87,28,27,4,0,29,1.03,-0.6,2.09,59,30,0.57,67.8,32.5,35.3,1.25,14,6,30.0,0,41,26,12,2,0,17,0,1,84,11
ENG-Premier League,2324,Liverpool,Owen Beck,WAL,DF,20,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,0,0,0,0.0,0.0,0,0,0,,1,1,100.0,0,0,3,2,66.7,4,3,75.0,1,31,0.0,4,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1,2,1,2,0,0,4,0,1,0,1,43,1,4,1,0,0.0,1,100.0,2,0,3,0,8,4,8,0.2,8,0,,0,8,1,0,1,11.25,10.09,3.0,1,0,-7.99,0.3,0.9,-0.6,-6.87,0,0,,0,0,0,0,0,0,0,0,0,0,1
ENG-Premier League,2324,Liverpool,Ryan Gravenberch,NED,MF,21,2002,26,12,1121,12.5,1,0,1,1,0,0,0,0,2.0,2.0,0.9,2.9,39,78,71,0.08,0.0,0.08,0.08,0.08,0.16,0.07,0.23,0.16,0.23,12.5,-1.0,-1.0,0.09,20.6,0,0.04,0.13,1,0,0,23,1.85,8,34.8,0.64,35,0,0,-0.9,1.4,16,12,8,66.7,140,122,87.1,27,78,302,263,87.1,504,415,82.3,1719,5520,0.9,504,0,0,0,14,415,3,0,4,9,3,492,2,4,4,0,0.0,0,0,0,0,0,0,44,3.54,0,0,0,36,6,2,20,18,2,29,17,12,41.4,11,0,14,8,5,13,26,12,40,28,10,432,13,46,39,1369,2458,71,472,50,23,46.0,22,44.0,272,42,84,17,696,347,696,32.8,43,1,68,12,22,14,5,11,0.88,-0.45,2.23,28,17,-0.21,27.0,15.0,12.0,0.96,14,10,41.7,0,4,15,20,14,0,0,0,0,74,12
